Passo,Sucetivel,Infectado,Exposto,Removido
454,138,862,0,0
455,138,862,0,0
456,123,877,0,0
457,121,879,0,0
458,126,874,0,0
459,124,876,0,0
460,135,865,0,0
461,117,883,0,0
462,124,876,0,0
463,125,875,0,0
464,111,889,0,0
465,117,883,0,0
466,116,884,0,0
467,115,885,0,0
468,118,882,0,0
469,117,883,0,0
470,121,879,0,0
471,128,872,0,0
472,129,871,0,0
473,128,872,0,0
474,137,863,0,0
475,143,857,0,0
476,128,872,0,0
477,121,879,0,0
478,133,867,0,0
479,131,869,0,0
480,117,883,0,0
481,116,884,0,0
482,124,876,0,0
483,130,870,0,0
484,121,879,0,0
485,117,883,0,0
486,125,875,0,0
487,123,877,0,0
488,121,879,0,0
489,106,894,0,0
490,122,878,0,0
491,105,895,0,0
492,121,879,0,0
493,136,864,0,0
494,123,877,0,0
495,124,876,0,0
496,127,873,0,0
497,137,863,0,0
498,125,875,0,0
499,125,875,0,0
500,131,869,0,0
501,123,877,0,0
502,131,869,0,0
503,128,872,0,0
504,122,878,0,0
505,141,859,0,0
506,133,867,0,0
507,139,861,0,0
508,131,869,0,0
509,132,868,0,0
510,132,868,0,0
511,142,858,0,0
512,118,882,0,0
513,135,865,0,0
514,151,849,0,0
515,145,855,0,0
516,144,856,0,0
517,130,870,0,0
518,135,865,0,0
519,102,898,0,0
520,116,884,0,0
521,122,878,0,0
522,129,871,0,0
523,128,872,0,0
524,119,881,0,0
525,114,886,0,0
526,129,871,0,0
527,145,855,0,0
528,136,864,0,0
529,145,855,0,0
530,127,873,0,0
531,135,865,0,0
532,121,879,0,0
533,118,882,0,0
534,127,873,0,0
535,105,895,0,0
536,119,881,0,0
537,135,865,0,0
538,136,864,0,0
539,124,876,0,0
540,139,861,0,0
541,122,878,0,0
542,110,890,0,0
543,117,883,0,0
544,101,899,0,0
545,112,888,0,0
546,126,874,0,0
547,129,871,0,0
548,145,855,0,0
549,151,849,0,0
550,115,885,0,0
551,129,871,0,0
552,126,874,0,0
553,138,862,0,0
554,131,869,0,0
555,132,868,0,0
556,145,855,0,0
557,123,877,0,0
558,120,880,0,0
559,135,865,0,0
560,112,888,0,0
561,103,897,0,0
